;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
4811;0782238J; RUE DE SAINTES;78711;MANTES-LA-VILLE;1.696249551880228;48.98378294107093; RUE DE SAINTES 78711 MANTES-LA-VILLE;1.69625;48.983783;0.9581463636363635;high;RUE DE SAINTES;MANTES-LA-VILLE;78711;78;RUE DE SAINTES 78711 MANTES-LA-VILLE
4858;0641663K; AVENUE ABBE CESTAC;64604;ANGLET;-1.5240922169420317;43.50188875305741; AVENUE ABBE CESTAC 64604 ANGLET;-1.516815;43.500906;0.3888189256198347;low;ALLÉE EDOUARD CESTAC;ANGLET;64600;64;ALLÉE EDOUARD CESTAC 64600 ANGLET
4868;0597055Y; RUE WILSON;59490;SOMAIN;3.281920627015369;50.338378074987375; RUE WILSON 59490 SOMAIN;3.281161;50.352652;0.9721727272727273;high;RUE WILSON;SOMAIN;59490;59;RUE WILSON 59490 SOMAIN
4877;0762080Y; RUE DE SEELZE;76530;GRAND-COURONNE;1.0017386409405615;49.351485882868495; RUE DE SEELZE 76530 GRAND-COURONNE;1.001739;49.351486;0.9648145454545454;high;RUE DE SEELZE;GRAND-COURONNE;76530;76;RUE DE SEELZE 76530 GRAND-COURONNE
4907;0594851C;85 RUE DE LA REPUBLIQUE;59430;DUNKERQUE;2.35807063117889;51.028083375614415;85 RUE DE LA REPUBLIQUE 59430 DUNKERQUE;2.302067;51.030698;0.763000620842572;middle;RUE DE LA RÉPUBLIQUE FM;DUNKERQUE;59430;59;RUE DE LA RÉPUBLIQUE FM 59430 DUNKERQUE
4913;0851498S; RUE DE BOIS FOSSE;85304;CHALLANS;-1.878189918602392;46.83551737734109; RUE DE BOIS FOSSE 85304 CHALLANS;-1.87819;46.835517;0.7682882644628098;middle;RUE DE BOIS FOSSÉ;CHALLANS;85300;85;RUE DE BOIS FOSSÉ 85300 CHALLANS
4930;0040345D; ALLEE DE PROVENCE;4100;MANOSQUE;5.787270490751145;43.83116981478009; ALLEE DE PROVENCE 4100 MANOSQUE;5.78787;43.831706;0.7944481818181818;middle;ALLÉE DE PROVENCE;MANOSQUE;04100;04;ALLÉE DE PROVENCE 04100 MANOSQUE
4940;0623166E; RUE JEROME DE FRANCE;62950;NOYELLES-GODAULT;2.993529704702362;50.41923397823451; RUE JEROME DE FRANCE 62950 NOYELLES-GODAULT;2.993038;50.41837;0.9548336363636363;high;RUE JÉRÔME DE FRANCE;NOYELLES-GODAULT;62950;62;RUE JÉRÔME DE FRANCE 62950 NOYELLES-GODAULT
4963;0771459T; RUE GRANDE;77310;SAINT-FARGEAU-PONTHIERRY;2.5225433638152674;48.52988928716245; RUE GRANDE 77310 SAINT-FARGEAU-PONTHIERRY;2.522543;48.529889;0.9687481818181817;high;RUE GRANDE;SAINT-FARGEAU-PONTHIERRY;77310;77;RUE GRANDE 77310 SAINT-FARGEAU-PONTHIERRY
4976;0831569E; RUE MANIAC;83000;TOULON;5.928009525717684;43.124230864169846; RUE MANIAC 83000 TOULON;5.942248;43.122489;0.5620605194805194;middle;RUE MAISSIN;TOULON;83000;83;RUE MAISSIN 83000 TOULON
